Player,Nathan Col,Dean Hende,Bernd Leno,Jordan Pic,David Raya,Matz Sels,Bryan Mbeu,Mohamed Sa,Moisés Cai,Max Kilman,Milos Kerk,Dan Burn,Nikola Mil,Virgil van,Joško Gvar
Nathan Collins,1.000,0.596,0.583,0.589,0.594,0.583,0.800,0.582,0.600,0.596,0.598,0.581,0.597,0.578,0.600
Dean Henderson,0.596,1.000,0.595,0.890,0.600,0.595,0.598,0.595,0.594,0.867,0.588,0.861,0.600,0.592,0.595
Bernd Leno,0.583,0.595,1.000,0.599,0.597,0.600,0.587,0.600,0.579,0.595,0.569,0.600,0.593,0.600,0.580
Jordan Pickford,0.589,0.890,0.599,1.000,0.599,0.599,0.592,0.599,0.586,0.890,0.577,0.891,0.597,0.598,0.587
David Raya,0.594,0.600,0.597,0.599,1.000,0.597,0.596,0.596,0.592,0.600,0.585,0.596,0.599,0.594,0.592
Matz Sels,0.583,0.595,0.600,0.599,0.597,1.000,0.587,0.600,0.579,0.595,0.569,0.600,0.860,0.600,0.580
Bryan Mbeumo,0.800,0.598,0.587,0.592,0.596,0.587,1.000,0.586,0.599,0.598,0.596,0.585,0.599,0.582,0.599
Mohamed Salah,0.582,0.595,0.600,0.599,0.596,0.600,0.586,1.000,0.578,0.595,0.568,0.600,0.593,0.799,0.579
Moisés Caicedo,0.600,0.594,0.579,0.586,0.592,0.579,0.599,0.578,1.000,0.594,0.599,0.577,0.596,0.573,0.600
Max Kilman,0.596,0.867,0.595,0.890,0.600,0.595,0.598,0.595,0.594,1.000,0.588,0.861,0.600,0.592,0.594
Milos Kerkez,0.598,0.588,0.569,0.577,0.585,0.569,0.596,0.568,0.599,0.588,1.000,0.567,0.591,0.562,0.599
Dan Burn,0.581,0.861,0.600,0.891,0.596,0.600,0.585,0.600,0.577,0.861,0.567,1.000,0.592,0.600,0.578
Nikola Milenković,0.597,0.600,0.593,0.597,0.599,0.860,0.599,0.593,0.596,0.600,0.591,0.592,1.000,0.590,0.596
Virgil van Dijk,0.578,0.592,0.600,0.598,0.594,0.600,0.582,0.799,0.573,0.592,0.562,0.600,0.590,1.000,0.574
Joško Gvardiol,0.600,0.595,0.580,0.587,0.592,0.580,0.599,0.579,0.600,0.594,0.599,0.578,0.596,0.574,1.000
